epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.05036,1.70084,3.2314,2.03032,0.00736,0.66667,0.16369,0.02084,1.99974,3.23254,2.52648,4.287e-05,4.287e-05,4.287e-05
2,1.61797,1.77531,3.26531,1.89153,0.00804,0.66667,0.02556,0.00792,1.8946,3.2181,2.28445,9.90397e-05,9.90397e-05,9.90397e-05
3,2.24224,1.44864,3.1999,1.75317,0.00844,0.66667,0.08311,0.0468,1.66677,3.26875,2.06939,0.000154078,0.000154078,0.000154078
4,2.86329,1.01618,4.36526,1.31244,0.00919,0.77778,0.12267,0.07884,1.65512,3.23489,2.06103,0.000207984,0.000207984,0.000207984
5,3.49351,1.39274,3.13245,1.66673,0.01004,0.66667,0.24931,0.1407,1.6185,3.20569,2.00181,0.000260758,0.000260758,0.000260758
6,4.12396,1.06492,3.14584,1.61988,0.00987,0.66667,0.41714,0.18516,1.57069,3.18293,1.95085,0.000312401,0.000312401,0.000312401
7,4.75464,1.37663,3.07902,1.6325,0.01098,0.77778,0.40913,0.17964,1.55225,3.16293,1.90027,0.000362912,0.000362912,0.000362912
8,5.35361,1.21439,2.98397,1.55928,0.01098,0.77778,0.40913,0.17964,1.55225,3.16293,1.90027,0.000412291,0.000412291,0.000412291
9,5.97087,1.21449,2.93103,1.44752,0.01171,0.77778,0.45276,0.23116,1.40277,3.17147,1.81495,0.000460538,0.000460538,0.000460538
10,6.58295,1.23671,3.21777,1.60753,0.01171,0.77778,0.45276,0.23116,1.40277,3.17147,1.81495,0.000507654,0.000507654,0.000507654
11,7.21976,1.34712,3.00232,1.69941,0.01171,0.77778,0.45276,0.23116,1.40277,3.17147,1.81495,0.000553637,0.000553637,0.000553637
12,7.87538,1.34104,2.95041,1.68875,0.01222,0.88889,0.15751,0.08478,1.53222,3.19466,1.99006,0.000598489,0.000598489,0.000598489
13,8.49844,1.18695,2.74657,1.59166,0.01222,0.88889,0.15751,0.08478,1.53222,3.19466,1.99006,0.00064221,0.00064221,0.00064221
14,9.12046,1.28084,2.93586,1.73485,0.01222,0.88889,0.15751,0.08478,1.53222,3.19466,1.99006,0.000684798,0.000684798,0.000684798
15,9.75842,1.23729,2.63392,1.54611,0.01368,0.88889,0.19386,0.07772,1.83675,2.88101,2.50771,0.000726255,0.000726255,0.000726255
16,10.5531,1.37606,2.72769,1.54777,0.01368,0.88889,0.19386,0.07772,1.83675,2.88101,2.50771,0.00076658,0.00076658,0.00076658
17,11.1721,1.37138,2.78229,1.52726,0.01368,0.88889,0.19386,0.07772,1.83675,2.88101,2.50771,0.000805773,0.000805773,0.000805773
18,11.7959,1.3209,2.56308,1.61034,0.01368,0.88889,0.19386,0.07772,1.83675,2.88101,2.50771,0.000843835,0.000843835,0.000843835
19,12.4406,1.41608,2.65001,1.56284,0.89015,0.22222,0.47281,0.1681,1.45302,2.72265,2.27947,0.000880764,0.000880764,0.000880764
20,13.0592,1.42471,2.67316,1.58177,0.89015,0.22222,0.47281,0.1681,1.45302,2.72265,2.27947,0.000916562,0.000916562,0.000916562
21,13.6888,1.50982,2.488,1.65858,0.89015,0.22222,0.47281,0.1681,1.45302,2.72265,2.27947,0.000951228,0.000951228,0.000951228
22,14.3211,1.32395,2.47997,1.67383,0.89015,0.22222,0.47281,0.1681,1.45302,2.72265,2.27947,0.000984762,0.000984762,0.000984762
23,15.0483,1.36949,2.52523,1.59932,0.89015,0.22222,0.47281,0.1681,1.45302,2.72265,2.27947,0.00101717,0.00101717,0.00101717
24,15.8636,1.43576,2.54835,1.60032,0.68407,0.33333,0.50601,0.22212,1.84228,2.54499,2.39108,0.00104844,0.00104844,0.00104844
25,16.5533,1.08856,4.00482,1.33137,0.68407,0.33333,0.50601,0.22212,1.84228,2.54499,2.39108,0.00107857,0.00107857,0.00107857
26,17.2236,1.27258,2.43993,1.60222,0.68407,0.33333,0.50601,0.22212,1.84228,2.54499,2.39108,0.00107532,0.00107532,0.00107532
27,17.8999,1.4953,2.57328,1.86256,0.68407,0.33333,0.50601,0.22212,1.84228,2.54499,2.39108,0.00106118,0.00106118,0.00106118
28,18.5208,1.80842,2.45232,2.2427,0.68407,0.33333,0.50601,0.22212,1.84228,2.54499,2.39108,0.00104703,0.00104703,0.00104703
29,19.1905,1.63407,2.25479,1.81083,0.89885,0.55556,0.77175,0.33449,1.62807,2.31385,2.24078,0.00103288,0.00103288,0.00103288
30,19.8757,1.57523,2.6199,1.89528,0.89885,0.55556,0.77175,0.33449,1.62807,2.31385,2.24078,0.00101873,0.00101873,0.00101873
31,20.7985,1.40786,2.30258,1.69507,0.89885,0.55556,0.77175,0.33449,1.62807,2.31385,2.24078,0.00100459,0.00100459,0.00100459
32,21.4691,1.56373,2.40194,1.68105,0.89885,0.55556,0.77175,0.33449,1.62807,2.31385,2.24078,0.00099044,0.00099044,0.00099044
33,22.1195,1.19995,2.35186,1.62142,0.89885,0.55556,0.77175,0.33449,1.62807,2.31385,2.24078,0.000976293,0.000976293,0.000976293
34,22.7849,1.20238,2.74941,1.57391,0.89885,0.55556,0.77175,0.33449,1.62807,2.31385,2.24078,0.000962146,0.000962146,0.000962146
35,23.4799,1.29819,2.13525,1.57037,1,0.41239,0.84463,0.42377,1.78905,1.91229,2.37633,0.000947999,0.000947999,0.000947999
36,24.1294,1.34127,2.23416,1.61993,1,0.41239,0.84463,0.42377,1.78905,1.91229,2.37633,0.000933851,0.000933851,0.000933851
