epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.55895,1.95575,3.77099,1.75677,0.00895,0.52396,0.02609,0.00844,1.6357,3.49548,1.37755,0.00026672,0.00026672,0.00026672
2,6.65532,1.6825,3.3141,1.35201,0.01258,0.71311,0.12382,0.05124,1.59807,3.32663,1.25066,0.000544664,0.000544664,0.000544664
3,9.76881,1.75454,3.14858,1.43905,0.01123,0.67071,0.23633,0.10247,1.65253,3.24897,1.30381,0.000816997,0.000816997,0.000816997
4,12.5735,2.00411,2.77136,1.43672,0.01007,0.61048,0.13112,0.03945,2.15701,3.33916,1.62546,0.00108372,0.00108372,0.00108372
5,15.1948,1.90085,2.57149,1.5036,0.49798,0.20684,0.21485,0.08811,1.77012,2.92613,1.46993,0.00134483,0.00134483,0.00134483
6,18.0092,1.90283,2.55011,1.53961,0.29307,0.3462,0.26971,0.09151,1.89568,2.60151,1.68952,0.00158448,0.00158448,0.00158448
7,20.6344,1.94261,2.26547,1.50877,0.4936,0.43811,0.42573,0.15893,1.8968,2.33343,1.69993,0.00156798,0.00156798,0.00156798
8,23.5522,1.87069,2.1577,1.54264,0.4936,0.43811,0.42573,0.15893,1.8968,2.33343,1.69993,0.00155148,0.00155148,0.00155148
9,26.416,1.74482,1.94116,1.41733,0.53656,0.52947,0.53768,0.22427,1.83935,2.55581,1.64347,0.00153497,0.00153497,0.00153497
10,29.1476,1.76843,2.03334,1.50203,0.47363,0.66664,0.53216,0.22624,1.78638,3.04823,1.6768,0.00151847,0.00151847,0.00151847
11,32.3285,1.79816,1.85678,1.43452,0.59716,0.56635,0.5839,0.26271,1.71887,2.34323,1.52841,0.00150197,0.00150197,0.00150197
12,35.2469,1.80061,1.8348,1.4489,0.56606,0.56569,0.55326,0.23012,1.82897,2.64959,1.50169,0.00148546,0.00148546,0.00148546
13,38.2447,1.87134,1.99036,1.50813,0.53408,0.54326,0.52444,0.21207,1.77716,2.82071,1.60856,0.00146896,0.00146896,0.00146896
14,41.1247,1.72688,1.90068,1.51929,0.53408,0.54326,0.52444,0.21207,1.77716,2.82071,1.60856,0.00145246,0.00145246,0.00145246
15,44.2154,1.82852,1.84526,1.49712,0.68863,0.55117,0.64101,0.29088,1.67155,2.42113,1.45491,0.00143595,0.00143595,0.00143595
16,47.3241,1.74155,1.84926,1.49332,0.68757,0.52422,0.62681,0.2971,1.71286,2.67111,1.61845,0.00141945,0.00141945,0.00141945
17,50.0525,1.72389,1.79594,1.41285,0.75665,0.65103,0.725,0.3694,1.57419,1.82948,1.41088,0.00140295,0.00140295,0.00140295
